"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"19","A","AB","A","AB","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"27","A","AB","A","A","A","A","A","AB","B","AB","AB","A","BC","A","B","LowRisk"
"22","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","LowRisk"
"4","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"33","AB","A","A","A","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
