"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"15","A","BC","BC","A","B","B","B","C","D","C","D","AB","A","B","A","HighRisk"
"40","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","MediumRisk"
"21","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","LowRisk"
"43","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","MediumRisk"
"45","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","MediumRisk"
"3","A","D","C","BC","BC","B","D","D","D","C","B","C","D","C","D","HighRisk"
