"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"239","AB","B","AB","A","B","A","B","B","B","AB","AB","A","BC","A","BC","MediumRisk"
"247","A","BC","A","A","AB","A","AB","BC","D","C","C","A","AB","AB","BC","MediumRisk"
"168","A","B","BC","B","A","A","A","B","BC","AB","BC","A","AB","AB","AB","LowRisk"
"178","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","MediumRisk"
"76","A","B","A","A","A","A","B","BC","C","BC","BC","A","AB","A","AB","HighRisk"
"203","A","BC","AB","A","AB","A","B","AB","B","BC","A","AB","BC","AB","AB","MediumRisk"
"183","A","AB","A","A","AB","A","AB","A","A","AB","AB","B","B","A","B","MediumRisk"
"211","A","AB","B","AB","AB","A","AB","A","BC","A","A","A","B","AB","A","MediumRisk"
"194","A","AB","A","A","B","A","AB","A","AB","A","A","A","AB","A","A","MediumRisk"
"209","A","C","B","B","B","A","AB","C","C","AB","AB","B","C","B","C","MediumRisk"
"205","A","BC","A","A","A","A","AB","B","AB","BC","B","AB","C","A","C","MediumRisk"
"91","A","AB","A","A","A","A","AB","A","A","A","A","A","A","A","A","LowRisk"
"251","A","A","AB","A","BC","AB","A","B","BC","B","BC","A","B","AB","A","MediumRisk"
"213","A","BC","B","A","AB","A","AB","B","B","A","A","A","BC","AB","AB","MediumRisk"
"35","A","BC","BC","A","BC","A","B","BC","E","A","AB","B","D","BC","D","HighRisk"
"46","A","C","BC","C","BC","A","BC","D","D","D","B","C","D","BC","D","HighRisk"
"2","B","BC","B","B","B","A","AB","B","BC","B","A","AB","D","A","C","HighRisk"
"21","AB","C","A","B","B","A","B","C","BC","B","AB","C","C","AB","C","HighRisk"
"249","A","B","BC","B","B","A","A","BC","C","BC","BC","A","A","AB","AB","MediumRisk"
"196","A","BC","A","B","A","A","A","AB","A","B","A","AB","AB","AB","A","MediumRisk"
"26","A","C","BC","AB","BC","B","BC","C","BC","C","B","BC","D","AB","D","HighRisk"
"140","A","B","A","A","A","A","A","AB","AB","A","A","A","BC","A","B","LowRisk"
"227","A","BC","A","AB","A","A","A","B","AB","A","A","A","AB","B","BC","MediumRisk"
"122","A","B","AB","AB","B","A","AB","A","C","AB","AB","B","B","A","A","LowRisk"
"210","A","BC","A","A","AB","A","AB","A","B","A","A","AB","B","AB","A","MediumRisk"
