"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"158","A","A","A","A","AB","AB","AB","AB","AB","A","B","A","A","A","A","LowRisk"
"74","A","BC","B","A","B","A","C","B","D","BC","C","AB","AB","AB","C","HighRisk"
"143","A","A","AB","B","A","A","B","A","AB","A","B","A","A","A","A","LowRisk"
"188","A","A","A","B","AB","A","AB","A","AB","B","A","AB","B","AB","A","MediumRisk"
"131","A","A","A","A","AB","A","AB","A","B","AB","AB","AB","B","A","B","LowRisk"
"169","A","AB","A","A","B","B","AB","AB","A","A","AB","A","B","A","A","MediumRisk"
"201","A","BC","B","B","AB","A","A","BC","B","AB","AB","B","B","B","BC","MediumRisk"
"60","A","C","B","C","AB","A","BC","D","D","C","B","BC","C","B","D","HighRisk"
"162","A","BC","A","A","A","A","BC","AB","B","B","C","A","AB","AB","B","LowRisk"
"133","A","B","A","A","AB","A","AB","A","AB","A","AB","A","B","A","B","LowRisk"
"43","A","C","AB","A","AB","A","A","C","D","C","B","B","BC","AB","BC","HighRisk"
"9","A","C","B","C","B","A","BC","D","C","C","AB","BC","D","BC","D","HighRisk"
"132","A","AB","AB","A","AB","A","AB","A","BC","AB","AB","A","B","A","BC","LowRisk"
"100","A","B","BC","AB","BC","A","B","A","BC","AB","AB","BC","BC","A","A","LowRisk"
"173","A","AB","AB","AB","B","A","AB","AB","AB","A","AB","A","B","AB","B","MediumRisk"
"75","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"129","A","B","A","A","A","A","A","B","B","A","AB","A","BC","A","BC","LowRisk"
"153","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"54","A","C","D","B","BC","A","BC","C","D","D","AB","B","D","BC","D","HighRisk"
"86","A","B","A","A","BC","B","AB","A","B","A","AB","AB","BC","B","AB","LowRisk"
"172","A","B","AB","A","AB","B","A","AB","B","B","A","AB","BC","AB","B","MediumRisk"
"197","A","BC","B","B","BC","A","AB","AB","C","AB","AB","AB","C","AB","AB","MediumRisk"
"240","A","C","B","A","B","A","AB","BC","D","C","B","BC","BC","AB","C","MediumRisk"
"48","A","B","AB","AB","AB","A","A","B","BC","A","AB","A","BC","A","D","HighRisk"
"125","A","BC","A","A","A","A","A","AB","B","A","AB","A","B","A","B","LowRisk"
