"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"185","A","AB","A","B","AB","B","A","AB","A","AB","AB","B","B","A","A","MediumRisk"
"177","A","B","A","B","AB","B","AB","AB","A","A","A","A","B","AB","B","MediumRisk"
"107","AB","AB","A","A","AB","A","A","A","A","A","A","AB","AB","A","A","LowRisk"
"11","A","C","AB","B","AB","A","AB","BC","D","AB","B","B","C","AB","C","HighRisk"
"38","A","D","BC","B","B","A","B","BC","D","BC","BC","B","C","BC","D","HighRisk"
"221","A","C","AB","B","AB","A","AB","B","C","BC","BC","AB","BC","B","B","MediumRisk"
"109","A","BC","AB","AB","A","B","AB","B","B","AB","A","A","C","AB","BC","LowRisk"
"184","A","BC","A","AB","B","A","A","B","AB","AB","AB","A","AB","A","B","MediumRisk"
"95","A","AB","A","A","AB","A","A","B","A","A","A","A","BC","A","AB","LowRisk"
"215","A","C","B","C","AB","A","A","B","B","BC","A","B","AB","AB","BC","MediumRisk"
"233","A","AB","A","A","AB","A","AB","B","B","A","AB","B","B","A","B","MediumRisk"
"236","A","B","AB","A","AB","A","A","AB","AB","AB","AB","B","AB","A","AB","MediumRisk"
"34","A","BC","A","A","B","A","AB","BC","BC","C","AB","BC","C","AB","D","HighRisk"
"208","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","MediumRisk"
"121","A","AB","A","A","B","A","A","A","AB","A","B","A","B","A","AB","LowRisk"
"64","A","BC","B","A","AB","A","B","C","BC","BC","AB","B","BC","AB","C","HighRisk"
"191","B","BC","A","A","B","A","A","BC","AB","B","A","A","BC","A","C","MediumRisk"
"181","A","D","BC","B","AB","A","C","D","D","D","B","C","E","BC","D","MediumRisk"
"23","B","C","BC","B","C","A","BC","D","D","C","B","C","D","BC","D","HighRisk"
"189","A","BC","A","B","B","B","AB","BC","BC","AB","A","B","B","AB","BC","MediumRisk"
"155","A","BC","A","A","A","A","A","AB","AB","B","C","A","B","A","B","LowRisk"
"70","A","B","A","AB","AB","B","AB","B","B","AB","AB","A","BC","A","C","HighRisk"
"90","AB","A","A","A","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"53","A","C","A","A","A","A","AB","BC","B","B","AB","B","BC","B","BC","HighRisk"
"180","AB","AB","A","A","B","A","AB","A","AB","B","AB","B","B","A","B","MediumRisk"
