"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"175","A","A","A","A","AB","AB","A","A","B","AB","B","A","A","A","AB","LowRisk"
"132","AB","AB","A","A","AB","A","A","A","A","A","A","AB","AB","A","A","LowRisk"
"143","A","BC","AB","AB","AB","A","B","A","C","A","AB","A","BC","AB","AB","LowRisk"
"296","A","BC","AB","A","AB","AB","C","C","C","BC","D","A","AB","AB","AB","MediumRisk"
"127","A","AB","A","A","BC","A","AB","AB","AB","AB","A","AB","BC","A","B","LowRisk"
"157","A","AB","AB","A","AB","A","AB","A","BC","AB","AB","A","B","A","BC","LowRisk"
"150","A","BC","A","A","A","A","A","AB","B","A","AB","A","B","A","B","LowRisk"
"186","A","A","A","A","A","A","A","AB","A","AB","AB","A","A","A","A","LowRisk"
"83","A","B","C","B","AB","AB","D","C","D","C","D","AB","AB","AB","D","HighRisk"
"59","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
"311","A","B","AB","A","BC","A","AB","BC","BC","BC","C","A","A","A","BC","MediumRisk"
"2","B","BC","B","B","B","A","AB","B","BC","B","A","AB","D","A","C","HighRisk"
"307","A","B","AB","A","AB","B","B","B","D","BC","BC","A","AB","B","B","MediumRisk"
"236","A","AB","A","A","A","A","A","A","A","A","AB","A","AB","A","B","MediumRisk"
"43","A","C","AB","A","AB","A","A","C","D","C","B","B","BC","AB","BC","HighRisk"
"232","A","AB","A","A","B","A","A","A","A","AB","A","AB","C","A","B","MediumRisk"
"240","A","B","BC","B","B","B","B","A","B","A","AB","AB","BC","B","A","MediumRisk"
"231","A","D","BC","B","AB","A","C","D","D","D","B","C","E","BC","D","MediumRisk"
"280","A","C","B","B","B","A","AB","BC","B","A","AB","A","BC","B","BC","MediumRisk"
"190","A","A","A","A","B","A","B","AB","B","BC","A","A","A","A","AB","LowRisk"
"249","AB","B","AB","A","BC","A","B","B","B","AB","AB","B","C","AB","A","MediumRisk"
"68","A","BC","AB","A","AB","A","B","BC","BC","BC","AB","AB","C","AB","D","HighRisk"
"255","A","BC","A","A","A","A","AB","B","AB","BC","B","AB","C","A","C","MediumRisk"
"20","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","HighRisk"
"305","A","A","A","B","AB","A","AB","B","BC","A","A","AB","A","AB","A","MediumRisk"
"98","A","BC","A","A","B","B","BC","C","C","BC","C","AB","BC","A","B","HighRisk"
"37","A","B","AB","B","AB","A","AB","A","C","A","B","A","B","BC","B","HighRisk"
"224","A","AB","A","A","A","A","A","AB","B","AB","AB","A","BC","A","B","MediumRisk"
"321","A","BC","AB","A","AB","A","BC","BC","C","B","BC","A","AB","A","AB","MediumRisk"
"84","A","BC","A","B","B","AB","BC","C","D","BC","D","A","AB","AB","BC","HighRisk"
"187","A","BC","A","A","A","A","BC","AB","B","B","C","A","AB","AB","B","LowRisk"
"223","A","AB","AB","AB","B","A","AB","AB","AB","A","AB","A","B","AB","B","MediumRisk"
"62","A","C","A","AB","AB","A","A","BC","B","AB","AB","AB","BC","B","BC","HighRisk"
