"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"244","A","B","AB","A","A","A","B","B","B","B","BC","A","A","A","BC","MediumRisk"
"40","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","HighRisk"
"224","A","AB","AB","A","AB","A","AB","B","BC","A","B","A","B","AB","B","MediumRisk"
"141","A","AB","BC","AB","AB","A","AB","A","C","A","AB","AB","B","A","A","LowRisk"
"61","A","BC","AB","AB","AB","A","B","B","AB","A","A","A","B","AB","BC","HighRisk"
"83","A","B","C","B","AB","AB","D","C","D","C","D","AB","AB","AB","D","HighRisk"
"113","A","AB","A","A","A","A","A","A","A","A","AB","A","A","A","A","LowRisk"
"156","A","A","A","A","A","A","AB","AB","AB","AB","B","A","A","A","A","LowRisk"
"246","A","BC","AB","A","AB","AB","C","C","C","BC","D","A","AB","AB","AB","MediumRisk"
"171","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","MediumRisk"
"124","A","AB","AB","A","A","A","A","A","AB","A","A","A","B","A","A","LowRisk"
"37","A","B","AB","B","AB","A","AB","A","C","A","B","A","B","BC","B","HighRisk"
"166","A","A","A","B","A","A","AB","AB","AB","AB","A","A","A","A","A","LowRisk"
"57","A","B","AB","B","A","A","AB","AB","B","AB","A","A","B","B","BC","HighRisk"
"17","A","C","B","AB","AB","A","B","AB","C","C","AB","A","C","B","BC","HighRisk"
"126","AB","A","B","AB","AB","A","B","A","BC","AB","BC","AB","AB","A","A","LowRisk"
"144","A","AB","A","A","A","A","B","AB","BC","AB","BC","A","A","AB","A","LowRisk"
"229","A","AB","A","A","AB","A","A","A","B","A","AB","A","BC","AB","A","MediumRisk"
"116","A","A","A","A","A","A","A","A","AB","AB","A","AB","AB","A","A","LowRisk"
"27","A","AB","AB","A","A","A","AB","BC","AB","C","AB","B","BC","AB","B","HighRisk"
"170","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","MediumRisk"
"139","A","AB","B","A","AB","A","AB","A","B","AB","AB","A","B","AB","AB","LowRisk"
"159","A","B","AB","A","B","B","AB","B","B","BC","B","A","A","AB","B","LowRisk"
"212","A","B","A","B","AB","A","A","A","A","A","A","AB","B","A","AB","MediumRisk"
"13","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","HighRisk"
