"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"14","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"51","AB","C","A","B","B","A","B","C","BC","B","AB","C","C","AB","C","MediumRisk"
"7","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"37","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","MediumRisk"
"30","A","B","A","A","A","A","A","BC","AB","A","A","AB","BC","AB","BC","LowRisk"
