"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"113","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"307","A","AB","AB","A","A","A","A","AB","A","A","A","A","AB","A","B","LowRisk"
"159","A","C","AB","A","B","A","BC","C","D","D","B","A","C","A","D","HighRisk"
"342","A","BC","B","A","AB","AB","B","C","BC","BC","D","A","AB","AB","B","LowRisk"
"364","A","A","A","B","AB","A","AB","AB","A","A","A","A","A","A","A","LowRisk"
"18","A","C","A","AB","B","A","AB","BC","B","B","AB","AB","C","AB","BC","HighRisk"
"203","A","AB","AB","AB","B","A","AB","AB","AB","A","AB","A","B","AB","B","LowRisk"
"387","A","A","AB","B","AB","A","BC","AB","BC","BC","AB","A","A","AB","AB","LowRisk"
"211","AB","A","A","A","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"174","A","B","C","B","AB","AB","D","C","D","C","D","AB","AB","AB","D","HighRisk"
"386","A","A","A","B","A","A","AB","AB","AB","AB","A","A","A","A","A","LowRisk"
"172","A","C","A","AB","AB","A","A","BC","B","AB","AB","AB","BC","B","BC","HighRisk"
"257","A","AB","A","A","AB","B","A","A","A","A","AB","A","B","A","A","LowRisk"
"216","A","AB","A","A","B","A","A","A","A","AB","A","AB","C","A","B","LowRisk"
"39","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","HighRisk"
"338","A","B","AB","A","AB","A","A","BC","D","C","BC","A","AB","A","AB","LowRisk"
"93","A","B","B","A","B","A","AB","BC","BC","BC","BC","A","AB","B","A","HighRisk"
"16","A","C","B","AB","AB","A","B","AB","C","C","AB","A","C","B","BC","HighRisk"
"122","A","BC","B","A","B","B","B","C","D","C","D","B","A","AB","B","HighRisk"
"355","A","B","AB","A","AB","BC","BC","C","C","BC","BC","AB","AB","AB","AB","LowRisk"
"330","A","B","AB","A","A","A","B","B","B","B","BC","A","A","A","BC","LowRisk"
"256","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","LowRisk"
"236","A","AB","A","A","A","A","A","A","A","A","A","A","AB","A","A","LowRisk"
"365","A","A","A","A","AB","AB","AB","AB","AB","A","B","A","A","A","A","LowRisk"
"240","A","BC","A","B","A","A","A","AB","A","B","A","AB","AB","AB","A","LowRisk"
"259","A","AB","A","A","AB","A","AB","A","A","A","A","A","AB","A","AB","LowRisk"
"199","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","LowRisk"
"377","A","BC","AB","B","AB","AB","AB","C","BC","BC","D","A","A","A","A","LowRisk"
"105","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
"54","A","C","C","BC","B","A","BC","D","D","BC","B","BC","C","B","D","HighRisk"
"347","A","AB","A","A","AB","AB","BC","B","BC","BC","BC","A","A","A","AB","LowRisk"
"324","A","B","A","A","A","A","A","AB","AB","A","A","A","BC","A","B","LowRisk"
"248","AB","B","A","AB","B","A","A","B","AB","A","A","A","B","A","B","LowRisk"
"284","A","B","AB","AB","AB","A","A","A","B","A","AB","A","B","B","AB","LowRisk"
"9","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"170","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"269","A","B","A","AB","AB","B","A","AB","A","A","AB","A","BC","A","B","LowRisk"
"77","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"112","A","BC","AB","A","B","B","BC","C","C","BC","D","A","A","A","B","HighRisk"
