"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"49","A","C","A","AB","B","A","AB","BC","B","B","AB","AB","C","AB","BC","MediumRisk"
"41","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","MediumRisk"
"32","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","LowRisk"
"18","A","AB","A","A","B","B","AB","AB","A","A","AB","A","B","A","A","LowRisk"
"29","A","B","A","AB","B","A","A","B","A","A","AB","A","BC","AB","B","LowRisk"
