MAT103,MAT217,CLASS
A,AB,CUKUP
BC,B,BAIK
BC,C,CUKUP
B,BC,BAIK
C,B,CUKUP
A,A,BAIK
B,AB,CUKUP
B,B,CUKUP
D,D,CUKUP
BC,B,CUKUP
BC,B,CUKUP
D,D,CUKUP
B,BC,CUKUP
B,A,BAIK
BC,C,CUKUP
AB,A,BAIK
C,BC,CUKUP
D,D,CUKUP
D,BC,BAIK
D,C,CUKUP
AB,A,BAIK
A,A,BAIK
A,AB,CUKUP
AB,B,BAIK
A,A,BAIK
D,D,CUKUP
AB,AB,BAIK
D,C,CUKUP
AB,A,BAIK
BC,AB,BAIK
A,B,BAIK
BC,A,BAIK
BC,BC,CUKUP
D,BC,CUKUP
A,AB,BAIK
B,AB,BAIK
D,D,CUKUP
BC,AB,BAIK
C,BC,CUKUP
C,B,BAIK
BC,AB,BAIK
A,A,BAIK
A,A,BAIK
A,B,BAIK
A,A,BAIK
C,C,CUKUP
BC,B,BAIK
A,A,BAIK
D,D,CUKUP
B,AB,BAIK
BC,AB,BAIK
BC,A,BAIK
B,B,BAIK
B,A,CUKUP
BC,B,CUKUP
BC,AB,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
D,C,CUKUP
BC,BC,CUKUP
C,BC,CUKUP
B,AB,CUKUP
B,A,BAIK
A,B,BAIK
B,B,CUKUP
AB,A,BAIK
AB,AB,BAIK
B,AB,BAIK
AB,AB,BAIK
B,C,CUKUP
D,D,CUKUP
BC,B,CUKUP
B,A,BAIK
C,B,CUKUP
BC,C,CUKUP
AB,AB,BAIK
D,C,CUKUP
B,B,BAIK
D,D,CUKUP
C,BC,CUKUP
D,C,CUKUP
A,B,BAIK
D,C,CUKUP
AB,A,BAIK
B,B,CUKUP
