KOM206,KOM311,CLASS
C,A,BAIK
BC,A,CUKUP
C,B,CUKUP
B,B,CUKUP
C,C,CUKUP
A,A,BAIK
D,BC,CUKUP
C,B,CUKUP
C,A,CUKUP
D,C,CUKUP
C,B,CUKUP
D,B,CUKUP
B,A,CUKUP
BC,B,CUKUP
D,C,CUKUP
C,C,CUKUP
C,A,CUKUP
C,B,CUKUP
BC,B,CUKUP
C,B,CUKUP
C,BC,CUKUP
C,B,CUKUP
B,BC,CUKUP
C,BC,CUKUP
C,B,CUKUP
A,A,BAIK
BC,B,CUKUP
BC,AB,BAIK
BC,A,CUKUP
C,B,CUKUP
BC,A,BAIK
C,B,CUKUP
C,B,CUKUP
C,AB,CUKUP
BC,C,CUKUP
BC,A,BAIK
D,BC,CUKUP
BC,B,CUKUP
BC,A,BAIK
C,B,CUKUP
C,C,CUKUP
BC,B,CUKUP
C,B,CUKUP
B,BC,BAIK
A,A,BAIK
C,B,BAIK
B,A,BAIK
C,C,CUKUP
B,A,BAIK
B,A,BAIK
C,B,CUKUP
A,A,CUKUP
B,A,BAIK
C,B,CUKUP
B,A,BAIK
C,B,CUKUP
B,A,CUKUP
C,B,CUKUP
C,B,CUKUP
C,BC,CUKUP
C,C,CUKUP
C,B,CUKUP
C,C,CUKUP
C,A,CUKUP
BC,B,BAIK
C,A,BAIK
BC,B,BAIK
BC,A,CUKUP
C,AB,CUKUP
C,B,CUKUP
B,B,CUKUP
C,AB,CUKUP
D,B,CUKUP
BC,AB,CUKUP
BC,A,CUKUP
C,B,CUKUP
BC,BC,CUKUP
BC,AB,CUKUP
C,B,CUKUP
B,A,BAIK
C,B,CUKUP
C,BC,CUKUP
C,B,BAIK
B,A,CUKUP
B,B,CUKUP
BC,AB,CUKUP
C,B,CUKUP
