MAT100,MAT221,CLASS
B,B,BAIK
BC,BC,BAIK
B,AB,BAIK
AB,B,BAIK
B,B,BAIK
A,A,BAIK
A,BC,BAIK
B,BC,BAIK
BC,C,BAIK
D,D,CUKUP
C,D,CUKUP
B,C,BAIK
AB,B,BAIK
D,C,BAIK
C,C,CUKUP
A,AB,BAIK
B,AB,BAIK
B,C,BAIK
AB,A,BAIK
C,C,BAIK
D,D,BAIK
C,D,BAIK
C,BC,BAIK
B,C,BAIK
A,AB,BAIK
A,A,BAIK
A,BC,BAIK
A,AB,BAIK
A,A,BAIK
D,D,CUKUP
C,D,CUKUP
AB,C,BAIK
B,D,CUKUP
C,C,BAIK
A,B,BAIK
B,BC,CUKUP
A,B,BAIK
B,A,BAIK
BC,C,BAIK
C,D,CUKUP
A,B,BAIK
AB,BC,BAIK
D,D,CUKUP
B,B,BAIK
BC,D,BAIK
B,B,BAIK
AB,C,BAIK
A,A,BAIK
AB,A,BAIK
D,D,CUKUP
A,BC,BAIK
A,A,BAIK
C,D,CUKUP
B,AB,BAIK
A,AB,BAIK
E,D,BAIK
A,AB,BAIK
A,B,BAIK
BC,B,BAIK
AB,B,BAIK
A,BC,BAIK
B,D,BAIK
B,C,BAIK
BC,BC,CUKUP
B,BC,BAIK
C,D,BAIK
B,BC,BAIK
C,C,CUKUP
A,B,BAIK
B,A,BAIK
BC,B,BAIK
B,B,BAIK
AB,BC,BAIK
A,B,BAIK
A,A,CUKUP
AB,D,BAIK
C,C,CUKUP
B,B,BAIK
A,AB,BAIK
BC,C,BAIK
BC,C,BAIK
BC,C,CUKUP
A,B,BAIK
BC,D,CUKUP
AB,BC,BAIK
C,D,BAIK
B,C,CUKUP
BC,E,CUKUP
C,D,BAIK
A,B,BAIK
B,BC,BAIK
A,AB,BAIK
AB,C,BAIK
