"","MAT103","MAT217","CLASS"
"9","C","B","BAIK"
"24","BC","C","CUKUP"
"94","C","BC","CUKUP"
"55","A","B","CUKUP"
"96","A","B","CUKUP"
"57","A","AB","CUKUP"
"3","C","D","CUKUP"
"14","A","A","BAIK"
"63","C","BC","CUKUP"
"6","A","A","BAIK"
"95","AB","B","BAIK"
"81","BC","BC","CUKUP"
"8","AB","B","CUKUP"
"82","A","C","CUKUP"
"91","D","D","CUKUP"
"60","A","A","BAIK"
"37","A","A","CUKUP"
"46","D","D","CUKUP"
"69","A","B","CUKUP"
"44","BC","C","CUKUP"
"92","B","BC","CUKUP"
"48","AB","AB","CUKUP"
"93","A","AB","BAIK"
"30","BC","C","CUKUP"
"99","AB","BC","CUKUP"
"107","BC","A","CUKUP"
"78","B","B","CUKUP"
"102","BC","C","CUKUP"
"39","D","D","CUKUP"
"19","BC","B","CUKUP"
"50","A","B","CUKUP"
"103","A","A","BAIK"
"23","C","C","CUKUP"
"33","A","AB","CUKUP"
"52","BC","B","CUKUP"
"64","A","B","CUKUP"
"13","B","BC","CUKUP"
"51","C","C","CUKUP"
"22","A","A","BAIK"
"18","B","AB","CUKUP"
"71","A","B","CUKUP"
"42","A","A","BAIK"
"47","B","BC","CUKUP"
"108","C","C","CUKUP"
"2","D","BC","CUKUP"
"26","A","A","CUKUP"
"28","B","A","CUKUP"
"56","AB","B","CUKUP"
"36","B","D","CUKUP"
"27","C","C","CUKUP"
"4","D","D","CUKUP"
"7","D","BC","CUKUP"
"54","C","C","CUKUP"
"106","B","BC","CUKUP"
"97","A","B","CUKUP"
"16","B","C","CUKUP"
"35","BC","BC","CUKUP"
"10","A","B","BAIK"
"84","AB","B","CUKUP"
"77","BC","B","CUKUP"
"29","C","BC","CUKUP"
"40","B","A","CUKUP"
"20","B","AB","BAIK"
"70","AB","C","CUKUP"
"104","BC","BC","CUKUP"
"11","B","C","BAIK"
"66","A","AB","CUKUP"
"32","D","C","CUKUP"
"45","A","A","CUKUP"
"74","BC","B","CUKUP"
"90","D","D","CUKUP"
"61","D","D","CUKUP"
"100","AB","B","CUKUP"
"67","B","BC","CUKUP"
"12","B","AB","BAIK"
"98","A","AB","CUKUP"
"89","B","BC","CUKUP"
"105","B","B","CUKUP"
"43","A","A","CUKUP"
"87","C","BC","CUKUP"
"41","A","AB","CUKUP"
"65","A","AB","CUKUP"
"17","D","D","CUKUP"
"59","AB","B","CUKUP"
"101","AB","AB","CUKUP"
"88","B","BC","CUKUP"
"38","B","BC","CUKUP"
"83","BC","BC","CUKUP"
"75","A","AB","BAIK"
"72","BC","BC","CUKUP"
"49","B","C","CUKUP"
"73","A","B","CUKUP"
"80","D","D","CUKUP"
"79","B","B","CUKUP"
"25","D","D","CUKUP"
"68","B","C","CUKUP"
"34","B","BC","CUKUP"
