"","MAT100","MAT221","CLASS"
"39","A","BC","BAIK"
"105","A","BC","CUKUP"
"54","A","A","BAIK"
"116","A","B","CUKUP"
"123","A","BC","CUKUP"
"6","AB","BC","BAIK"
"68","BC","BC","CUKUP"
"114","A","B","CUKUP"
"70","C","D","CUKUP"
"58","A","A","BAIK"
"119","B","BC","CUKUP"
"56","A","AB","BAIK"
"83","B","BC","CUKUP"
"126","E","D","CUKUP"
"13","AB","B","BAIK"
"108","BC","D","CUKUP"
"30","A","BC","BAIK"
"5","AB","B","BAIK"
"134","AB","BC","CUKUP"
"110","AB","BC","CUKUP"
"102","B","D","CUKUP"
"79","D","D","CUKUP"
"72","BC","BC","CUKUP"
"111","BC","BC","CUKUP"
"73","C","D","CUKUP"
"78","BC","D","CUKUP"
"59","BC","B","BAIK"
"64","B","BC","BAIK"
"31","BC","BC","BAIK"
"16","B","BC","BAIK"
"101","D","D","CUKUP"
"93","B","C","CUKUP"
"71","AB","BC","CUKUP"
"81","A","B","CUKUP"
"3","A","B","BAIK"
"48","B","AB","BAIK"
"75","A","C","CUKUP"
"21","A","A","BAIK"
"106","B","B","CUKUP"
"23","BC","BC","BAIK"
"14","A","A","BAIK"
"131","A","B","CUKUP"
"103","A","B","CUKUP"
"34","A","AB","BAIK"
"94","D","D","CUKUP"
"120","A","C","CUKUP"
"97","E","D","CUKUP"
"41","AB","B","BAIK"
"95","C","C","CUKUP"
"115","B","BC","CUKUP"
"4","B","BC","BAIK"
"37","A","AB","BAIK"
"66","B","AB","BAIK"
"10","AB","BC","BAIK"
"45","AB","B","BAIK"
"17","BC","BC","BAIK"
"104","BC","BC","CUKUP"
"124","B","BC","CUKUP"
"69","B","BC","CUKUP"
"29","BC","BC","BAIK"
"50","A","B","BAIK"
"7","AB","BC","BAIK"
"28","A","B","BAIK"
"20","A","AB","BAIK"
"125","BC","C","CUKUP"
"96","BC","C","CUKUP"
"130","AB","BC","CUKUP"
"55","C","BC","BAIK"
"53","B","B","BAIK"
"98","AB","BC","CUKUP"
"49","BC","C","BAIK"
"40","AB","B","BAIK"
"80","B","C","CUKUP"
"1","BC","BC","BAIK"
"65","B","B","BAIK"
"89","B","BC","CUKUP"
"86","A","B","CUKUP"
"35","A","A","BAIK"
"127","B","BC","CUKUP"
"85","B","BC","CUKUP"
"90","D","C","CUKUP"
"36","B","BC","BAIK"
"22","AB","B","BAIK"
"87","A","A","CUKUP"
"129","A","AB","CUKUP"
"52","B","C","BAIK"
"99","B","BC","CUKUP"
"42","A","BC","BAIK"
"51","AB","B","BAIK"
"8","AB","BC","BAIK"
"74","BC","BC","CUKUP"
"60","AB","D","BAIK"
"15","AB","B","BAIK"
"27","B","C","BAIK"
"77","AB","BC","CUKUP"
"62","C","B","BAIK"
"118","BC","BC","CUKUP"
"84","A","AB","CUKUP"
"113","B","C","CUKUP"
"18","AB","C","BAIK"
"88","BC","C","CUKUP"
"11","A","BC","BAIK"
"133","A","B","CUKUP"
"38","A","B","BAIK"
"47","B","A","BAIK"
"26","B","BC","BAIK"
"43","AB","B","BAIK"
"82","BC","BC","CUKUP"
"33","A","B","BAIK"
"122","AB","BC","CUKUP"
"121","BC","BC","CUKUP"
"67","B","C","BAIK"
"2","A","B","BAIK"
"128","AB","BC","CUKUP"
"76","E","D","CUKUP"
"100","B","BC","CUKUP"
"109","A","AB","CUKUP"
"46","A","BC","BAIK"
"57","A","BC","BAIK"
"24","A","B","BAIK"
