"","KOM206","KOM311","CLASS"
"56","B","B","BAIK"
"151","B","B","CUKUP"
"78","BC","B","BAIK"
"167","B","B","CUKUP"
"177","B","A","CUKUP"
"9","BC","B","BAIK"
"99","C","C","CUKUP"
"166","C","C","CUKUP"
"102","B","A","CUKUP"
"84","BC","B","BAIK"
"175","BC","B","CUKUP"
"83","B","B","BAIK"
"122","D","B","CUKUP"
"103","B","B","CUKUP"
"19","BC","C","BAIK"
"160","BC","BC","CUKUP"
"44","B","B","BAIK"
"8","B","BC","BAIK"
"58","A","B","BAIK"
"185","B","BC","CUKUP"
"154","C","C","CUKUP"
"119","C","C","CUKUP"
"109","B","BC","CUKUP"
"169","BC","BC","CUKUP"
"111","B","C","CUKUP"
"171","C","BC","CUKUP"
"91","B","B","BAIK"
"186","C","C","CUKUP"
"48","BC","B","BAIK"
"24","B","B","BAIK"
"157","BC","B","CUKUP"
"146","B","C","CUKUP"
"168","B","BC","CUKUP"
"127","C","B","CUKUP"
"4","B","C","BAIK"
"76","B","B","BAIK"
"189","BC","B","CUKUP"
"34","B","C","BAIK"
"49","AB","A","BAIK"
"36","BC","C","BAIK"
"22","BC","B","BAIK"
"63","A","AB","BAIK"
"191","B","BC","CUKUP"
"55","A","B","BAIK"
"23","B","B","BAIK"
"21","BC","C","BAIK"
"35","BC","B","BAIK"
"68","B","B","BAIK"
"39","BC","B","BAIK"
"123","BC","B","CUKUP"
"7","A","B","BAIK"
"150","C","B","CUKUP"
"112","C","B","CUKUP"
"17","A","AB","BAIK"
"190","BC","BC","CUKUP"
"29","BC","A","BAIK"
"18","BC","A","BAIK"
"184","BC","B","CUKUP"
"120","B","B","CUKUP"
"50","B","B","BAIK"
"88","AB","A","BAIK"
"13","B","B","BAIK"
"133","C","AB","CUKUP"
"153","D","B","CUKUP"
"105","AB","AB","CUKUP"
"57","A","B","BAIK"
"179","BC","B","CUKUP"
"135","C","C","CUKUP"
"165","B","B","CUKUP"
"149","BC","B","CUKUP"
"93","BC","A","BAIK"
"77","BC","A","BAIK"
"86","B","C","BAIK"
"1","B","B","BAIK"
"159","B","AB","CUKUP"
"26","B","B","BAIK"
"45","B","B","BAIK"
"71","BC","B","BAIK"
"41","B","B","BAIK"
"131","AB","A","CUKUP"
"28","A","AB","BAIK"
"75","A","AB","BAIK"
"46","BC","B","BAIK"
"134","B","AB","CUKUP"
"12","BC","B","BAIK"
"47","B","B","BAIK"
"128","B","B","CUKUP"
"94","B","B","BAIK"
"180","B","B","CUKUP"
"178","B","AB","CUKUP"
"14","BC","A","BAIK"
"66","B","B","BAIK"
"161","B","BC","CUKUP"
"101","C","BC","CUKUP"
"32","BC","B","BAIK"
"126","BC","BC","CUKUP"
"162","B","C","CUKUP"
"187","B","B","CUKUP"
"176","BC","AB","CUKUP"
"164","AB","B","CUKUP"
"192","B","A","CUKUP"
"31","B","C","BAIK"
"106","BC","B","CUKUP"
"85","BC","C","BAIK"
"43","B","B","BAIK"
"138","B","AB","CUKUP"
"79","B","B","BAIK"
"52","B","B","BAIK"
"100","C","B","CUKUP"
"113","B","B","CUKUP"
"121","C","B","CUKUP"
"25","BC","B","BAIK"
"5","B","B","BAIK"
"188","BC","AB","CUKUP"
"118","B","C","CUKUP"
"11","B","B","BAIK"
"42","BC","B","BAIK"
"72","B","C","BAIK"
"90","A","B","BAIK"
"30","BC","B","BAIK"
"107","B","D","CUKUP"
"148","A","B","CUKUP"
"152","AB","B","CUKUP"
"16","BC","B","BAIK"
"117","D","C","CUKUP"
"124","C","B","CUKUP"
"82","B","B","BAIK"
"6","BC","A","BAIK"
"10","A","AB","BAIK"
"74","B","B","BAIK"
"144","A","A","CUKUP"
"143","B","AB","CUKUP"
"114","C","B","CUKUP"
"141","B","B","CUKUP"
"172","B","AB","CUKUP"
"80","B","B","BAIK"
"15","BC","B","BAIK"
"104","AB","A","CUKUP"
"182","C","B","CUKUP"
"40","BC","B","BAIK"
"183","B","B","CUKUP"
"89","B","C","BAIK"
"61","B","B","BAIK"
"20","B","B","BAIK"
"174","C","AB","CUKUP"
"62","BC","B","BAIK"
"37","B","B","BAIK"
"73","BC","B","BAIK"
"65","BC","A","BAIK"
"140","BC","B","CUKUP"
"142","BC","B","CUKUP"
"125","B","BC","CUKUP"
"116","C","A","CUKUP"
"136","B","A","CUKUP"
"27","B","B","BAIK"
"181","C","B","CUKUP"
"137","B","A","CUKUP"
"81","BC","B","BAIK"
"33","BC","A","BAIK"
"145","B","B","CUKUP"
"97","B","B","CUKUP"
"132","B","B","CUKUP"
"96","BC","B","BAIK"
"70","B","B","BAIK"
"3","BC","C","BAIK"
"87","B","B","BAIK"
"108","BC","B","CUKUP"
"2","AB","A","BAIK"
"95","B","B","BAIK"
"115","A","A","CUKUP"
"54","B","B","BAIK"
"130","C","BC","CUKUP"
"155","B","B","CUKUP"
