"","KOM202","KOM207","KOM321","CLASS"
"26","AB","A","A","BAIK"
"68","A","AB","BC","CUKUP"
"35","B","A","C","BAIK"
"75","AB","A","B","BAIK"
"79","D","B","C","CUKUP"
"4","C","B","C","CUKUP"
"43","AB","BC","BC","CUKUP"
"72","BC","AB","C","CUKUP"
"44","B","B","BC","BAIK"
"23","AB","A","BC","BAIK"
"80","A","A","B","BAIK"
"60","A","AB","B","BAIK"
"46","A","A","A","BAIK"
"42","AB","A","AB","BAIK"
"64","B","A","BC","BAIK"
"86","AB","A","AB","CUKUP"
"83","BC","BC","C","CUKUP"
"34","B","AB","C","CUKUP"
"78","A","BC","BC","CUKUP"
"71","A","AB","BC","CUKUP"
"9","A","A","B","CUKUP"
"55","AB","A","BC","CUKUP"
"84","A","A","BC","CUKUP"
"38","BC","AB","C","CUKUP"
"77","A","BC","B","CUKUP"
"2","B","A","AB","BAIK"
"25","C","C","BC","CUKUP"
"39","A","A","C","BAIK"
"11","A","AB","A","CUKUP"
"16","B","AB","AB","BAIK"
"12","A","A","BC","BAIK"
"7","B","B","C","CUKUP"
"20","A","A","AB","CUKUP"
"19","AB","AB","BC","CUKUP"
"17","C","C","D","CUKUP"
"47","B","AB","D","BAIK"
"6","A","A","A","BAIK"
"10","A","A","BC","CUKUP"
"45","A","A","B","BAIK"
"50","A","A","AB","BAIK"
"33","AB","AB","BC","CUKUP"
"53","A","AB","BC","CUKUP"
"49","A","A","A","BAIK"
"28","B","A","AB","BAIK"
"5","B","B","BC","CUKUP"
"40","AB","A","B","CUKUP"
"54","B","BC","C","CUKUP"
"82","B","B","D","BAIK"
"69","AB","B","BC","BAIK"
"87","BC","A","AB","BAIK"
"56","B","AB","B","BAIK"
"59","C","BC","D","CUKUP"
"70","A","A","B","BAIK"
"41","AB","A","A","CUKUP"
"32","B","B","D","CUKUP"
"57","BC","A","BC","BAIK"
"52","A","A","AB","BAIK"
"27","B","B","C","CUKUP"
"62","B","AB","BC","BAIK"
"67","AB","A","C","BAIK"
"73","AB","A","BC","CUKUP"
"13","A","A","BC","CUKUP"
"76","C","AB","C","CUKUP"
"30","AB","B","BC","CUKUP"
"1","B","A","C","CUKUP"
"24","C","AB","C","CUKUP"
"29","B","B","BC","CUKUP"
"61","BC","BC","D","CUKUP"
"66","A","A","B","BAIK"
"31","BC","BC","C","CUKUP"
"14","A","A","B","BAIK"
"37","AB","A","C","CUKUP"
"15","B","AB","BC","CUKUP"
"48","A","A","AB","BAIK"
"58","C","B","B","CUKUP"
"21","AB","A","BC","CUKUP"
"63","BC","BC","BC","CUKUP"
"22","A","A","B","BAIK"
