"","KOM203","KOM206","KOM311","CLASS"
"48","A","A","BC","BAIK"
"129","B","BC","B","CUKUP"
"67","A","AB","B","BAIK"
"143","AB","C","BC","CUKUP"
"151","A","BC","AB","CUKUP"
"8","B","AB","B","BAIK"
"84","A","AB","B","BAIK"
"141","B","B","B","CUKUP"
"87","AB","A","C","BAIK"
"71","AB","AB","B","BAIK"
"148","B","BC","BC","CUKUP"
"70","AB","AB","BC","BAIK"
"103","B","B","BC","CUKUP"
"156","A","B","B","CUKUP"
"16","B","B","B","BAIK"
"135","A","B","B","CUKUP"
"37","AB","B","B","BAIK"
"7","AB","A","C","BAIK"
"164","AB","B","A","CUKUP"
"139","A","BC","C","CUKUP"
"163","B","AB","B","CUKUP"
"100","A","AB","AB","CUKUP"
"91","A","A","B","BAIK"
"157","B","BC","B","CUKUP"
"92","B","BC","B","CUKUP"
"99","A","AB","A","CUKUP"
"76","A","AB","C","BAIK"
"82","AB","AB","BC","BAIK"
"40","B","A","B","BAIK"
"20","A","AB","AB","BAIK"
"130","B","AB","B","CUKUP"
"121","AB","A","A","CUKUP"
"140","C","B","C","CUKUP"
"105","A","B","C","CUKUP"
"4","A","B","D","BAIK"
"62","B","B","A","BAIK"
"98","A","AB","B","CUKUP"
"28","B","B","A","BAIK"
"41","A","A","B","BAIK"
"29","A","AB","B","BAIK"
"18","AB","AB","B","BAIK"
"51","A","B","A","BAIK"
"123","B","B","AB","CUKUP"
"45","B","A","B","BAIK"
"19","B","B","B","BAIK"
"17","AB","AB","B","BAIK"
"127","A","AB","A","CUKUP"
"55","AB","B","B","BAIK"
"31","AB","BC","B","BAIK"
"145","B","BC","C","CUKUP"
"6","AB","BC","A","BAIK"
"50","AB","AB","B","BAIK"
"90","A","A","BC","BAIK"
"14","B","BC","BC","BAIK"
"144","A","AB","BC","CUKUP"
"23","A","A","B","BAIK"
"111","B","D","C","CUKUP"
"81","AB","B","B","BAIK"
"95","C","D","B","CUKUP"
"136","A","A","B","CUKUP"
"153","AB","C","AB","CUKUP"
"10","A","AB","B","BAIK"
"131","AB","BC","B","CUKUP"
"118","B","B","B","CUKUP"
"137","AB","BC","B","CUKUP"
"133","A","B","A","CUKUP"
"80","B","B","A","BAIK"
"79","A","AB","C","BAIK"
"77","BC","C","BC","BAIK"
"42","A","B","A","BAIK"
"155","A","A","AB","CUKUP"
"59","A","A","A","BAIK"
"66","AB","AB","B","BAIK"
"1","B","A","B","BAIK"
"43","A","A","B","BAIK"
"149","A","A","A","CUKUP"
"34","A","A","BC","BAIK"
"54","A","AB","AB","BAIK"
"116","B","BC","BC","CUKUP"
"152","B","C","B","CUKUP"
"21","A","A","B","BAIK"
"56","A","A","B","BAIK"
"86","AB","AB","B","BAIK"
"88","B","AB","B","BAIK"
"39","A","AB","B","BAIK"
"158","A","B","B","CUKUP"
"132","A","B","AB","CUKUP"
"93","B","B","A","CUKUP"
"125","C","C","C","CUKUP"
"53","A","AB","B","BAIK"
"138","A","AB","B","CUKUP"
"97","A","A","A","CUKUP"
"104","C","C","C","CUKUP"
"128","B","BC","AB","CUKUP"
"122","AB","AB","B","CUKUP"
"150","A","BC","AB","CUKUP"
"134","B","BC","C","CUKUP"
"49","B","BC","BC","BAIK"
"154","BC","B","A","CUKUP"
"162","B","AB","AB","CUKUP"
"27","BC","C","BC","BAIK"
"115","B","BC","B","CUKUP"
"73","A","AB","B","BAIK"
"120","BC","C","BC","CUKUP"
"60","AB","AB","B","BAIK"
"75","AB","AB","B","BAIK"
"78","B","A","B","BAIK"
"74","AB","AB","BC","BAIK"
"15","A","AB","B","BAIK"
"107","A","AB","B","CUKUP"
"114","BC","C","B","CUKUP"
"52","B","AB","B","BAIK"
"38","A","AB","B","BAIK"
"72","A","A","B","BAIK"
"22","A","AB","B","BAIK"
"30","AB","AB","B","BAIK"
"65","A","A","A","BAIK"
"83","B","BC","BC","BAIK"
"61","A","AB","B","BAIK"
"89","B","BC","BC","BAIK"
"24","AB","AB","B","BAIK"
"32","AB","B","B","BAIK"
"26","A","B","B","BAIK"
"11","A","B","A","BAIK"
"159","AB","AB","BC","CUKUP"
"126","AB","B","A","CUKUP"
"142","A","AB","AB","CUKUP"
"113","AB","D","B","CUKUP"
"119","AB","B","C","CUKUP"
"5","A","A","A","BAIK"
"94","BC","BC","C","CUKUP"
"2","A","A","A","BAIK"
"63","A","B","B","BAIK"
"57","A","AB","C","BAIK"
"12","AB","A","B","BAIK"
"58","A","A","B","BAIK"
"124","A","AB","AB","CUKUP"
"3","A","AB","C","BAIK"
"44","AB","AB","BC","BAIK"
"33","AB","AB","BC","BAIK"
"112","B","BC","B","CUKUP"
"110","C","BC","C","CUKUP"
"102","B","B","B","CUKUP"
"106","AB","BC","B","CUKUP"
"36","AB","AB","B","BAIK"
"101","A","C","B","CUKUP"
"117","A","BC","B","CUKUP"
"46","AB","B","B","BAIK"
