"","MAT103","MAT217","CLASS"
"42","A","B","BAIK"
"105","B","AB","CUKUP"
"140","AB","B","CUKUP"
"123","B","BC","CUKUP"
"100","AB","B","CUKUP"
"147","A","B","CUKUP"
"137","A","B","CUKUP"
"4","B","C","BAIK"
"68","B","AB","BAIK"
"10","A","A","BAIK"
"141","A","AB","CUKUP"
"162","D","D","CUKUP"
"95","D","BC","CUKUP"
"148","A","AB","CUKUP"
"101","B","BC","CUKUP"
"115","BC","C","CUKUP"
"87","C","B","BAIK"
"129","A","A","CUKUP"
"152","A","B","CUKUP"
"83","A","AB","BAIK"
"21","AB","B","BAIK"
"171","D","D","CUKUP"
"169","B","BC","CUKUP"
"30","A","A","BAIK"
"111","A","A","CUKUP"
"85","A","B","BAIK"
"136","BC","B","CUKUP"
"23","A","A","BAIK"
"74","B","AB","BAIK"
"121","B","D","CUKUP"
"120","BC","BC","CUKUP"
"179","AB","B","CUKUP"
"132","AB","AB","CUKUP"
"66","A","A","BAIK"
"149","A","AB","CUKUP"
"153","AB","C","CUKUP"
"13","A","AB","BAIK"
"22","A","B","BAIK"
"53","C","B","BAIK"
"44","A","A","BAIK"
"145","C","C","CUKUP"
"39","A","A","BAIK"
"71","A","A","BAIK"
"20","A","A","BAIK"
"118","A","AB","CUKUP"
"6","A","A","BAIK"
"46","A","AB","BAIK"
"116","D","C","CUKUP"
"77","A","B","BAIK"
"8","A","A","BAIK"
"48","B","C","BAIK"
"156","A","B","CUKUP"
"59","A","A","BAIK"
"133","B","C","CUKUP"
"125","B","A","CUKUP"
"16","A","B","BAIK"
"172","D","D","CUKUP"
"63","A","AB","BAIK"
"60","AB","B","BAIK"
"168","C","BC","CUKUP"
"82","C","B","BAIK"
"161","B","B","CUKUP"
"173","B","BC","CUKUP"
"5","B","AB","BAIK"
"163","BC","BC","CUKUP"
"28","A","A","BAIK"
"29","A","B","BAIK"
"65","A","A","BAIK"
"159","BC","B","CUKUP"
"165","BC","BC","CUKUP"
"35","C","B","BAIK"
"41","A","B","BAIK"
"128","BC","C","CUKUP"
"67","A","A","BAIK"
"86","B","AB","BAIK"
"58","B","AB","BAIK"
"185","BC","A","CUKUP"
"69","B","AB","BAIK"
"108","C","C","CUKUP"
"14","AB","B","BAIK"
"17","A","A","BAIK"
"38","B","AB","BAIK"
"183","B","B","CUKUP"
"19","A","A","BAIK"
"117","D","C","CUKUP"
"33","A","A","BAIK"
"167","C","C","CUKUP"
"99","D","BC","CUKUP"
"151","B","C","CUKUP"
"31","B","AB","BAIK"
"55","C","B","BAIK"
"164","A","C","CUKUP"
"181","BC","C","CUKUP"
"174","C","BC","CUKUP"
"166","AB","B","CUKUP"
"62","AB","B","BAIK"
"157","BC","B","CUKUP"
"34","A","A","BAIK"
"54","A","A","BAIK"
"75","B","AB","BAIK"
"104","D","D","CUKUP"
"144","D","D","CUKUP"
"78","B","AB","BAIK"
"130","D","D","CUKUP"
"73","A","A","BAIK"
"32","C","B","BAIK"
"2","C","B","BAIK"
"47","B","C","BAIK"
"70","A","A","BAIK"
"93","A","B","BAIK"
"27","A","A","BAIK"
"112","C","C","CUKUP"
"26","A","B","BAIK"
"43","B","C","BAIK"
"72","A","A","BAIK"
"178","AB","BC","CUKUP"
"186","C","C","CUKUP"
"135","C","C","CUKUP"
"143","AB","B","CUKUP"
"64","AB","B","BAIK"
"89","B","C","BAIK"
"119","B","BC","CUKUP"
"11","A","AB","BAIK"
"24","A","A","BAIK"
"124","D","D","CUKUP"
"122","A","A","CUKUP"
"81","A","A","BAIK"
"91","A","A","BAIK"
"79","B","C","BAIK"
"40","B","C","BAIK"
"180","AB","AB","CUKUP"
"170","B","BC","CUKUP"
"134","A","B","CUKUP"
"25","A","A","BAIK"
"37","A","B","BAIK"
"36","A","A","BAIK"
"150","B","BC","CUKUP"
"3","A","B","BAIK"
"110","D","D","CUKUP"
"98","A","A","CUKUP"
"139","A","B","CUKUP"
"96","C","D","CUKUP"
"18","B","C","BAIK"
"90","C","B","BAIK"
"114","C","BC","CUKUP"
"49","AB","B","BAIK"
"92","A","A","BAIK"
"155","BC","BC","CUKUP"
"109","BC","C","CUKUP"
"80","A","B","BAIK"
"146","C","BC","CUKUP"
"184","B","BC","CUKUP"
"45","A","A","BAIK"
"97","D","D","CUKUP"
"176","A","B","CUKUP"
"127","A","A","CUKUP"
"102","B","B","CUKUP"
"182","BC","BC","CUKUP"
"107","B","B","CUKUP"
"113","B","A","CUKUP"
"160","B","B","CUKUP"
"158","B","B","CUKUP"
"57","A","AB","BAIK"
"76","B","AB","BAIK"
"88","AB","B","BAIK"
"177","A","AB","CUKUP"
"15","A","A","BAIK"
