"","KOM203","KOM206","KOM311","CLASS"
"21","A","A","B","BAIK"
"57","BC","C","B","CUKUP"
"30","AB","AB","B","BAIK"
"62","AB","B","C","CUKUP"
"65","AB","AB","B","CUKUP"
"4","A","B","D","BAIK"
"36","B","B","A","CUKUP"
"59","B","BC","BC","CUKUP"
"67","A","AB","AB","CUKUP"
"71","B","BC","AB","CUKUP"
"61","B","B","B","CUKUP"
"29","A","AB","B","BAIK"
"42","A","AB","A","CUKUP"
"35","B","BC","B","CUKUP"
"7","AB","A","C","BAIK"
"53","C","BC","C","CUKUP"
"15","A","AB","B","BAIK"
"3","A","AB","C","BAIK"
"19","B","B","B","BAIK"
"52","C","E","C","CUKUP"
"48","A","B","C","CUKUP"
"37","BC","BC","C","CUKUP"
"33","AB","AB","BC","BAIK"
"50","A","AB","B","CUKUP"
"51","AB","AB","B","CUKUP"
"60","A","BC","B","CUKUP"
"26","A","B","B","BAIK"
"28","B","B","A","BAIK"
"14","B","BC","BC","BAIK"
"66","B","B","AB","CUKUP"
"63","BC","C","BC","CUKUP"
"38","C","D","B","CUKUP"
"70","A","AB","A","CUKUP"
"32","AB","B","B","BAIK"
"1","B","A","B","BAIK"
"55","B","BC","B","CUKUP"
"41","A","AB","B","CUKUP"
"8","B","AB","B","BAIK"
"12","AB","A","B","BAIK"
"69","AB","B","A","CUKUP"
"5","A","A","A","BAIK"
"45","B","B","B","CUKUP"
"13","B","AB","B","BAIK"
"58","B","BC","B","CUKUP"
"49","AB","BC","B","CUKUP"
"68","C","C","C","CUKUP"
"44","A","C","B","CUKUP"
"31","AB","BC","B","BAIK"
"27","BC","C","BC","BAIK"
"73","B","AB","B","CUKUP"
"2","A","A","A","BAIK"
"40","A","A","A","CUKUP"
"6","AB","BC","A","BAIK"
"9","AB","AB","BC","BAIK"
"23","A","A","B","BAIK"
"54","B","D","C","CUKUP"
"24","AB","AB","B","BAIK"
"34","A","A","BC","BAIK"
"18","AB","AB","B","BAIK"
"72","B","BC","B","CUKUP"
"43","A","AB","AB","CUKUP"
"16","B","B","B","BAIK"
"64","AB","A","A","CUKUP"
"22","A","AB","B","BAIK"
"25","AB","B","B","BAIK"
"39","B","C","BC","CUKUP"
