"","MAT100","MAT221","CLASS"
"32","BC","BC","BAIK"
"86","AB","B","BAIK"
"45","BC","BC","BAIK"
"95","A","A","BAIK"
"100","A","A","BAIK"
"5","AB","BC","CUKUP"
"55","BC","BC","BAIK"
"92","BC","BC","CUKUP"
"57","AB","B","BAIK"
"47","D","C","CUKUP"
"96","C","BC","BAIK"
"108","AB","BC","CUKUP"
"67","A","BC","BAIK"
"56","A","C","CUKUP"
"10","AB","B","BAIK"
"109","B","AB","BAIK"
"24","AB","BC","CUKUP"
"4","C","D","CUKUP"
"31","B","BC","BAIK"
"87","A","B","CUKUP"
"81","B","AB","BAIK"
"62","D","D","CUKUP"
"102","AB","D","BAIK"
"91","B","B","CUKUP"
"88","BC","BC","CUKUP"
"61","A","A","BAIK"
"46","A","B","BAIK"
"50","B","C","BAIK"
"94","B","B","BAIK"
"12","AB","BC","BAIK"
"78","AB","B","BAIK"
"72","AB","B","BAIK"
"54","A","BC","BAIK"
"89","B","C","BAIK"
"2","BC","BC","BAIK"
"36","AB","C","BAIK"
"107","B","B","BAIK"
"16","A","BC","BAIK"
"23","E","D","CUKUP"
"17","C","D","CUKUP"
"106","B","BC","BAIK"
"29","A","B","CUKUP"
"69","BC","C","CUKUP"
"25","BC","D","CUKUP"
"11","AB","BC","BAIK"
"70","E","D","CUKUP"
"15","AB","BC","BAIK"
"30","BC","BC","CUKUP"
"71","AB","BC","CUKUP"
"53","BC","BC","BAIK"
"3","B","BC","CUKUP"
"27","AB","B","BAIK"
"101","BC","B","BAIK"
"7","BC","BC","CUKUP"
"110","B","C","BAIK"
"90","A","BC","CUKUP"
"74","B","BC","CUKUP"
"40","BC","C","CUKUP"
"58","A","B","BAIK"
"20","AB","B","BAIK"
"34","A","AB","CUKUP"
"105","AB","BC","BAIK"
"19","BC","BC","CUKUP"
"13","AB","BC","BAIK"
"38","A","A","BAIK"
"21","A","C","CUKUP"
"99","A","AB","CUKUP"
"104","C","B","BAIK"
"93","BC","D","CUKUP"
"43","A","A","BAIK"
"51","A","B","BAIK"
"97","A","AB","BAIK"
"22","A","A","BAIK"
"60","A","AB","BAIK"
"66","A","B","BAIK"
"82","D","D","CUKUP"
"33","B","BC","CUKUP"
"68","AB","B","BAIK"
"85","B","D","CUKUP"
"26","D","D","CUKUP"
"42","A","AB","BAIK"
"80","B","A","BAIK"
"28","B","C","CUKUP"
"6","A","B","BAIK"
"84","A","B","BAIK"
"39","A","A","CUKUP"
"76","AB","B","BAIK"
"73","A","BC","BAIK"
"77","A","A","BAIK"
"14","A","AB","BAIK"
"64","B","BC","BAIK"
"79","A","BC","BAIK"
"44","AB","B","BAIK"
"9","B","BC","BAIK"
"49","B","BC","BAIK"
"63","C","C","CUKUP"
"41","B","BC","CUKUP"
"37","A","B","CUKUP"
"65","A","AB","BAIK"
