"","MAT100","MAT221","CLASS"
"22","AB","B","BAIK"
"60","D","D","CUKUP"
"31","BC","BC","BAIK"
"65","B","BC","CUKUP"
"68","B","D","CUKUP"
"4","B","BC","BAIK"
"37","AB","BC","CUKUP"
"62","BC","C","CUKUP"
"38","BC","BC","CUKUP"
"74","BC","D","CUKUP"
"64","AB","BC","CUKUP"
"30","A","BC","BAIK"
"44","BC","D","CUKUP"
"70","BC","BC","CUKUP"
"7","AB","BC","BAIK"
"55","B","BC","CUKUP"
"15","AB","B","BAIK"
"3","A","B","BAIK"
"20","A","AB","BAIK"
"61","C","C","CUKUP"
"50","A","AB","CUKUP"
"39","C","D","CUKUP"
"35","B","BC","CUKUP"
"53","A","A","CUKUP"
"54","BC","C","CUKUP"
"63","E","D","CUKUP"
"28","A","B","BAIK"
"73","BC","BC","CUKUP"
"14","A","A","BAIK"
"69","A","B","CUKUP"
"45","D","D","CUKUP"
"41","A","C","CUKUP"
"67","D","D","CUKUP"
"52","A","B","CUKUP"
"2","A","B","BAIK"
"58","A","C","CUKUP"
"66","B","BC","CUKUP"
"9","A","AB","BAIK"
"13","AB","B","BAIK"
"57","C","BC","CUKUP"
"6","AB","BC","BAIK"
"75","A","AB","CUKUP"
"43","AB","BC","CUKUP"
"72","B","B","CUKUP"
"5","AB","B","BAIK"
"32","AB","B","BAIK"
"47","A","B","CUKUP"
"48","BC","BC","CUKUP"
"8","AB","BC","BAIK"
"24","A","B","BAIK"
"42","E","D","CUKUP"
"12","B","B","BAIK"
"46","B","C","CUKUP"
"59","B","C","CUKUP"
"33","A","B","BAIK"
"40","BC","BC","CUKUP"
"23","BC","BC","BAIK"
"34","BC","BC","CUKUP"
"17","BC","BC","BAIK"
"49","B","BC","CUKUP"
"11","A","BC","BAIK"
"18","AB","C","BAIK"
"76","AB","BC","CUKUP"
"16","B","BC","BAIK"
"25","A","BC","BAIK"
"27","B","C","BAIK"
"1","BC","BC","BAIK"
"29","BC","BC","BAIK"
"19","A","A","BAIK"
