"","KOM202","KOM331","CLASS"
"31","C","C","CUKUP"
"11","B","BC","CUKUP"
"72","B","C","CUKUP"
"39","C","BC","CUKUP"
"105","B","BC","BAIK"
"19","BC","B","BAIK"
"108","AB","A","CUKUP"
"103","BC","A","CUKUP"
"18","BC","B","BAIK"
"13","AB","BC","CUKUP"
"36","AB","A","BAIK"
