"","MAT100","MAT221","CLASS"
"90","D","C","CUKUP"
"36","B","BC","BAIK"
"22","AB","B","BAIK"
"87","A","A","CUKUP"
"129","A","AB","CUKUP"
"52","B","C","BAIK"
"99","B","BC","CUKUP"
"42","A","BC","BAIK"
"51","AB","B","BAIK"
"8","AB","BC","BAIK"
"74","BC","BC","CUKUP"
"60","AB","D","BAIK"
"15","AB","B","BAIK"
"27","B","C","BAIK"
