"","KOM202","KOM207","KOM321","CLASS"
"34","B","AB","C","CUKUP"
"78","A","BC","BC","CUKUP"
"71","A","AB","BC","CUKUP"
"9","A","A","B","CUKUP"
"55","AB","A","BC","CUKUP"
"84","A","A","BC","CUKUP"
"38","BC","AB","C","CUKUP"
"77","A","BC","B","CUKUP"
"2","B","A","AB","BAIK"
