"","KOM203","KOM206","KOM311","CLASS"
"30","AB","AB","B","BAIK"
"65","A","A","A","BAIK"
"83","B","BC","BC","BAIK"
"61","A","AB","B","BAIK"
"89","B","BC","BC","BAIK"
"24","AB","AB","B","BAIK"
"32","AB","B","B","BAIK"
"26","A","B","B","BAIK"
"11","A","B","A","BAIK"
"159","AB","AB","BC","CUKUP"
"126","AB","B","A","CUKUP"
"142","A","AB","AB","CUKUP"
"113","AB","D","B","CUKUP"
"119","AB","B","C","CUKUP"
"5","A","A","A","BAIK"
"94","BC","BC","C","CUKUP"
