"","MAT100","MAT221","CLASS"
"77","A","A","BAIK"
"14","A","AB","BAIK"
"64","B","BC","BAIK"
"79","A","BC","BAIK"
"44","AB","B","BAIK"
"9","B","BC","BAIK"
"49","B","BC","BAIK"
"63","C","C","CUKUP"
"41","B","BC","CUKUP"
"37","A","B","CUKUP"
"65","A","AB","BAIK"
