"","MAT103","MAT217","CLASS"
"9","C","B","BAIK"
"24","BC","C","CUKUP"
"94","C","BC","CUKUP"
"55","A","B","CUKUP"
"96","A","B","CUKUP"
"57","A","AB","CUKUP"
"3","C","D","CUKUP"
"14","A","A","BAIK"
"63","C","BC","CUKUP"
"6","A","A","BAIK"
"95","AB","B","BAIK"
