"","KOM202","KOM331","CLASS"
"8","A","B","BAIK"
"50","A","BC","CUKUP"
"81","B","C","CUKUP"
"78","A","C","CUKUP"
"101","A","B","CUKUP"
"52","A","AB","BAIK"
"102","B","D","CUKUP"
"90","B","D","BAIK"
"43","A","BC","CUKUP"
"58","C","AB","CUKUP"
"97","B","BC","BAIK"
