MAT100,MAT221,CLASS
BC,BC,CUKUP
BC,BC,BAIK
B,BC,CUKUP
C,D,CUKUP
AB,BC,CUKUP
A,B,BAIK
BC,BC,CUKUP
A,B,BAIK
B,BC,BAIK
AB,B,BAIK
AB,BC,BAIK
AB,BC,BAIK
AB,BC,BAIK
A,AB,BAIK
AB,BC,BAIK
A,BC,BAIK
C,D,CUKUP
B,B,BAIK
BC,BC,CUKUP
AB,B,BAIK
A,C,CUKUP
A,A,BAIK
E,D,CUKUP
AB,BC,CUKUP
BC,D,CUKUP
D,D,CUKUP
AB,B,BAIK
B,C,CUKUP
A,B,CUKUP
BC,BC,CUKUP
B,BC,BAIK
BC,BC,BAIK
B,BC,CUKUP
A,AB,CUKUP
B,BC,CUKUP
AB,C,BAIK
A,B,CUKUP
A,A,BAIK
A,A,CUKUP
BC,C,CUKUP
B,BC,CUKUP
A,AB,BAIK
A,A,BAIK
AB,B,BAIK
BC,BC,BAIK
A,B,BAIK
D,C,CUKUP
A,BC,BAIK
B,BC,BAIK
B,C,BAIK
A,B,BAIK
C,BC,CUKUP
BC,BC,BAIK
A,BC,BAIK
BC,BC,BAIK
A,C,CUKUP
AB,B,BAIK
A,B,BAIK
B,C,CUKUP
A,AB,BAIK
A,A,BAIK
D,D,CUKUP
C,C,CUKUP
B,BC,BAIK
A,AB,BAIK
A,B,BAIK
A,BC,BAIK
AB,B,BAIK
BC,C,CUKUP
E,D,CUKUP
AB,BC,CUKUP
AB,B,BAIK
A,BC,BAIK
B,BC,CUKUP
B,BC,CUKUP
AB,B,BAIK
A,A,BAIK
AB,B,BAIK
A,BC,BAIK
B,A,BAIK
B,AB,BAIK
D,D,CUKUP
BC,C,BAIK
A,B,BAIK
B,D,CUKUP
AB,B,BAIK
A,B,CUKUP
BC,BC,CUKUP
B,C,BAIK
A,BC,CUKUP
B,B,CUKUP
BC,BC,CUKUP
BC,D,CUKUP
B,B,BAIK
A,A,BAIK
C,BC,BAIK
A,AB,BAIK
A,BC,BAIK
A,AB,CUKUP
A,A,BAIK
BC,B,BAIK
AB,D,BAIK
A,BC,BAIK
C,B,BAIK
AB,BC,BAIK
B,BC,BAIK
B,B,BAIK
AB,BC,CUKUP
B,AB,BAIK
B,C,BAIK
