MAT100,MAT221,CLASS
BC,BC,BAIK
A,B,BAIK
A,B,BAIK
B,BC,BAIK
AB,B,BAIK
AB,BC,BAIK
AB,BC,BAIK
AB,BC,BAIK
A,AB,BAIK
AB,BC,BAIK
A,BC,BAIK
B,B,BAIK
AB,B,BAIK
A,A,BAIK
AB,B,BAIK
B,BC,BAIK
BC,BC,BAIK
AB,C,BAIK
A,A,BAIK
A,AB,BAIK
A,A,BAIK
AB,B,BAIK
BC,BC,BAIK
A,B,BAIK
A,BC,BAIK
B,BC,BAIK
B,C,BAIK
A,B,BAIK
BC,BC,BAIK
A,BC,BAIK
BC,BC,BAIK
AB,B,BAIK
A,B,BAIK
A,AB,BAIK
A,A,BAIK
B,BC,BAIK
A,AB,BAIK
A,B,BAIK
A,BC,BAIK
AB,B,BAIK
AB,B,BAIK
A,BC,BAIK
AB,B,BAIK
A,A,BAIK
AB,B,BAIK
A,BC,BAIK
B,A,BAIK
B,AB,BAIK
BC,C,BAIK
A,B,BAIK
AB,B,BAIK
B,C,BAIK
B,B,BAIK
A,A,BAIK
C,BC,BAIK
A,AB,BAIK
A,BC,BAIK
A,A,BAIK
BC,B,BAIK
AB,D,BAIK
A,BC,BAIK
C,B,BAIK
AB,BC,BAIK
B,BC,BAIK
B,B,BAIK
B,AB,BAIK
B,C,BAIK
BC,BC,CUKUP
B,BC,CUKUP
C,D,CUKUP
AB,BC,CUKUP
BC,BC,CUKUP
C,D,CUKUP
BC,BC,CUKUP
A,C,CUKUP
E,D,CUKUP
AB,BC,CUKUP
BC,D,CUKUP
D,D,CUKUP
B,C,CUKUP
A,B,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
A,AB,CUKUP
B,BC,CUKUP
A,B,CUKUP
A,A,CUKUP
BC,C,CUKUP
B,BC,CUKUP
D,C,CUKUP
C,BC,CUKUP
A,C,CUKUP
B,C,CUKUP
D,D,CUKUP
C,C,CUKUP
BC,C,CUKUP
E,D,CUKUP
AB,BC,CUKUP
B,BC,CUKUP
B,BC,CUKUP
D,D,CUKUP
B,D,CUKUP
A,B,CUKUP
BC,BC,CUKUP
A,BC,CUKUP
B,B,CUKUP
BC,BC,CUKUP
BC,D,CUKUP
A,AB,CUKUP
AB,BC,CUKUP
BC,BC,CUKUP
BC,BC,CUKUP
B,C,CUKUP
A,B,CUKUP
B,BC,CUKUP
A,B,CUKUP
A,AB,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
A,C,CUKUP
BC,BC,CUKUP
AB,BC,CUKUP
A,BC,CUKUP
B,BC,CUKUP
BC,C,CUKUP
E,D,CUKUP
B,BC,CUKUP
AB,BC,CUKUP
A,AB,CUKUP
AB,BC,CUKUP
A,B,CUKUP
A,BC,CUKUP
A,B,CUKUP
AB,BC,CUKUP
