KOM202,KOM207,KOM321,CLASS
B,A,AB,BAIK
A,A,A,BAIK
A,A,BC,BAIK
A,A,B,BAIK
B,AB,AB,BAIK
A,A,B,BAIK
AB,A,BC,BAIK
AB,A,A,BAIK
B,A,AB,BAIK
B,A,C,BAIK
A,AB,BC,BAIK
A,A,C,BAIK
AB,A,AB,BAIK
B,B,BC,BAIK
A,A,B,BAIK
A,A,A,BAIK
B,AB,D,BAIK
A,A,AB,BAIK
A,A,A,BAIK
A,A,AB,BAIK
A,A,AB,BAIK
B,AB,B,BAIK
BC,A,BC,BAIK
A,AB,B,BAIK
B,AB,BC,BAIK
B,A,BC,BAIK
B,B,BC,BAIK
A,A,B,BAIK
AB,A,C,BAIK
AB,B,BC,BAIK
A,A,B,BAIK
A,A,B,BAIK
AB,A,B,BAIK
A,A,B,BAIK
B,B,D,BAIK
BC,A,AB,BAIK
B,AB,AB,BAIK
BC,A,AB,BAIK
A,A,B,BAIK
AB,A,B,BAIK
AB,A,AB,BAIK
B,B,BC,BAIK
A,A,B,BAIK
B,AB,BC,BAIK
BC,A,AB,BAIK
A,A,B,BAIK
AB,A,C,BAIK
AB,A,A,BAIK
AB,A,BC,BAIK
A,A,B,BAIK
B,A,AB,BAIK
B,A,C,CUKUP
BC,C,D,CUKUP
C,B,C,CUKUP
B,B,BC,CUKUP
B,B,C,CUKUP
A,A,B,CUKUP
A,A,B,CUKUP
A,A,BC,CUKUP
A,AB,A,CUKUP
A,A,BC,CUKUP
B,AB,BC,CUKUP
C,C,D,CUKUP
A,A,A,CUKUP
AB,AB,BC,CUKUP
A,A,AB,CUKUP
AB,A,BC,CUKUP
C,AB,C,CUKUP
C,C,BC,CUKUP
B,B,C,CUKUP
B,B,BC,CUKUP
AB,B,BC,CUKUP
BC,BC,C,CUKUP
B,B,D,CUKUP
AB,AB,BC,CUKUP
B,AB,C,CUKUP
AB,A,C,CUKUP
BC,AB,C,CUKUP
AB,A,B,CUKUP
AB,A,A,CUKUP
AB,BC,BC,CUKUP
C,BC,D,CUKUP
A,AB,BC,CUKUP
B,BC,C,CUKUP
AB,A,BC,CUKUP
C,B,B,CUKUP
C,BC,D,CUKUP
BC,BC,D,CUKUP
BC,BC,BC,CUKUP
A,AB,BC,CUKUP
A,AB,BC,CUKUP
BC,AB,C,CUKUP
AB,A,BC,CUKUP
C,AB,C,CUKUP
A,BC,B,CUKUP
A,BC,BC,CUKUP
D,B,C,CUKUP
BC,BC,C,CUKUP
BC,BC,C,CUKUP
A,A,BC,CUKUP
A,A,D,CUKUP
AB,A,AB,CUKUP
