MAT100,MAT215,CLASS
BC,BC,BAIK
A,A,BAIK
A,B,BAIK
AB,C,BAIK
B,B,BAIK
A,A,BAIK
AB,B,BAIK
A,B,BAIK
B,BC,BAIK
A,A,BAIK
A,BC,BAIK
A,B,BAIK
A,BC,BAIK
A,AB,BAIK
B,B,BAIK
B,BC,BAIK
A,B,BAIK
AB,B,BAIK
A,B,BAIK
A,A,BAIK
A,AB,BAIK
AB,BC,BAIK
A,BC,BAIK
B,B,BAIK
A,B,BAIK
A,BC,BAIK
A,BC,BAIK
A,AB,BAIK
A,AB,BAIK
A,BC,BAIK
AB,BC,BAIK
AB,AB,BAIK
BC,D,CUKUP
B,C,CUKUP
C,D,CUKUP
AB,BC,CUKUP
BC,BC,CUKUP
B,B,CUKUP
AB,BC,CUKUP
AB,B,CUKUP
AB,BC,CUKUP
A,AB,CUKUP
AB,BC,CUKUP
A,C,CUKUP
BC,C,CUKUP
A,BC,CUKUP
AB,D,CUKUP
BC,C,CUKUP
B,C,CUKUP
A,B,CUKUP
BC,C,CUKUP
B,BC,CUKUP
BC,B,CUKUP
B,BC,CUKUP
AB,C,CUKUP
A,C,CUKUP
BC,C,CUKUP
B,C,CUKUP
AB,B,CUKUP
BC,D,CUKUP
A,AB,CUKUP
A,BC,CUKUP
C,C,CUKUP
BC,AB,CUKUP
