MAT100,MAT221,CLASS
BC,BC,BAIK
AB,B,BAIK
A,A,BAIK
B,AB,BAIK
AB,A,BAIK
C,BC,BAIK
A,AB,BAIK
A,A,BAIK
A,AB,BAIK
A,A,BAIK
AB,C,BAIK
A,B,BAIK
B,BC,BAIK
A,B,BAIK
B,A,BAIK
A,B,BAIK
AB,BC,BAIK
B,B,BAIK
B,B,BAIK
AB,C,BAIK
A,A,BAIK
AB,A,BAIK
A,BC,BAIK
A,A,BAIK
B,AB,BAIK
A,AB,BAIK
A,AB,BAIK
A,B,BAIK
BC,B,BAIK
AB,B,BAIK
B,A,BAIK
BC,B,BAIK
B,B,BAIK
AB,BC,BAIK
A,B,BAIK
A,A,BAIK
A,AB,BAIK
A,B,BAIK
AB,BC,BAIK
A,B,BAIK
A,AB,BAIK
A,B,BAIK
A,A,BAIK
A,AB,BAIK
AB,A,BAIK
AB,C,BAIK
B,B,CUKUP
B,AB,CUKUP
B,B,CUKUP
A,BC,CUKUP
B,BC,CUKUP
C,D,CUKUP
B,C,CUKUP
AB,B,CUKUP
D,C,CUKUP
C,C,CUKUP
A,AB,CUKUP
B,C,CUKUP
C,C,CUKUP
C,D,CUKUP
B,C,CUKUP
A,BC,CUKUP
D,D,CUKUP
C,C,CUKUP
BC,C,CUKUP
C,D,CUKUP
D,D,CUKUP
BC,D,CUKUP
D,D,CUKUP
C,D,CUKUP
E,D,CUKUP
A,BC,CUKUP
B,D,CUKUP
B,C,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
C,D,CUKUP
B,BC,CUKUP
C,C,CUKUP
A,B,CUKUP
B,AB,CUKUP
AB,D,CUKUP
C,C,CUKUP
B,B,CUKUP
BC,C,CUKUP
BC,C,CUKUP
BC,D,CUKUP
C,D,CUKUP
B,C,CUKUP
C,D,CUKUP
B,BC,CUKUP
AB,C,CUKUP
